PuzzleId,Rating,PGN,Solution,FEN,Moves
00MTG,669,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Be7 5. O-O O-O 6. h3 h6 7. d4 exd4 8. Nxd4 Nxd4 9. Qxd4 d6 10. f4 Be6 11. Nd5 Nxd5 12. exd5 Bf5 13. g4 Bh7 14. Qd2 Qd7 15. Qg2 Rae8 16. a4 a6 17. Ra3 Bh4 18. b4 b5 19. axb5 axb5 20. Bd3 Bxd3 21. Rxd3 Re7 22. g5 hxg5 23. fxg5 Rfe8 24. Bd2 Re2 25. Qf3 Qe7 26. Qh5,Bf2+ Rxf2 Rxf2 Kxf2,4r1k1/2p1qpp1/3p4/1p1P2PQ/1P5b/3R3P/2PBr3/5RK1 b - - 6 26,h4f2 f1f2 e2f2 g1f2
00Msq,1932,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Bb6 5. O-O d6 6. b4 h6 7. a4 a5 8. b5 Nce7 9. d4 exd4 10. cxd4 Nf6 11. Re1 O-O 12. Bb2 Bg4 13. h3 Bh5 14. Nbd2 d5 15. exd5 Nexd5 16. Qb3 Bg6 17. Ne5 Kh7 18. Ba3 Re8 19. Nxg6 Rxe1+ 20. Rxe1 fxg6 21. Nf3 Nb4 22. Bxb4 axb4 23. Qxb4 Ba5 24. Qb1 Bxe1 25. Qxe1 Rxa4 26. Bb3 Ra8 27. Bc2 Qe8 28. Ne5 Qxb5 29. Bxg6+ Kg8 30. Bf7+,Kf8 Bc4 Qxc4 Nxc4,r5k1/1pp2Bp1/5n1p/1q2N3/3P4/7P/5PP1/4Q1K1 b - - 2 30,g8f8 f7c4 b5c4 e5c4
00Pbs,2106,1. d4 Nf6 2. Nf3 d5 3. g3 c5 4. Bg2 e6 5. c3 Nc6 6. O-O b6 7. h4 Bb7 8. Bf4 Bd6 9. Ne5 Bxe5 10. dxe5 Nd7 11. Qa4 O-O 12. e4 Ndxe5 13. exd5 exd5 14. Rd1 Qe7 15. Bxd5 Rad8 16. c4 Nd4 17. Nc3 Nef3+ 18. Kg2 b5 19. Qxa7 Nxh4+ 20. Kf1 Bxd5,Qxe7 Bg2+ Ke1 Nhf3#,3r1rk1/Q3qppp/8/1ppb4/2Pn1B1n/2N3P1/PP3P2/R2R1K2 w - - 0 21,a7e7 d5g2 f1e1 h4f3
00SIq,1880,1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. Nc3 Nf6 5. d3 c6 6. d4 Bg4 7. h3 Bh5 8. Bg5 Be7 9. b4 O-O 10. Be2 Nbd7 11. a3 a5 12. b5 c5 13. dxc5 Nxc5 14. O-O Nce4 15. Bxf6 Nxf6 16. Ne5 Bxe2 17. Qxe2 d4 18. Ne4 Nxe4 19. Qxe4 Re8 20. Qxb7 Bd6 21. Nc6 Qf6 22. Rad1 Qe5 23. f4 Qe2 24. Nxd4 Qe3+ 25. Kh1 Bxf4 26. Nf3 Qxa3 27. c4 Qc5 28. Nd2 Bxd2 29. Rxd2 Qxc4,Rxf7 Qxf7 Qxf7+ Kxf7,r3r1k1/1Q3ppp/8/pP6/2q5/7P/3R2P1/5R1K w - - 0 30,f1f7 c4f7 b7f7 g8f7
00j6z,2225,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. d3 O-O 6. Bg5 h6 7. Bh4 g5 8. Bg3 d6 9. Qd2 Bg4 10. h4 Bxf3 11. gxf3 Nd4 12. hxg5 Nxf3+ 13. Ke2 Nxd2 14. Kxd2 hxg5 15. Rh3 Kg7 16. Rah1 g4 17. Rh4 Qe7 18. Nd5,Nxd5 Rxg4+ Qg5+ Rxg5+,r4r2/ppp1qpk1/3p1n2/2bNp3/2B1P1pR/3P2B1/PPPK1P2/7R b - - 3 18,f6d5 h4g4 e7g5 g4g5
00mnZ,1116,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Nf3 Bd6 7. Bd3 O-O 8. O-O Bg4 9. c3 Nd7 10. h3 Bh5 11. Re1 Qc7 12. Be2 Rfe8 13. Nd2 Bxe2 14. Rxe2 f5 15. Nc4 Nf6 16. Bg5 Bh2+ 17. Kh1 Ne4 18. Bd2 Nxd2 19. Qxd2 Bf4 20. Rae1 Kf8 21. Qd3 g6 22. g3 Bg5 23. h4 Bf6 24. Kg2 Rxe2 25. Rxe2 Rd8 26. Qe3 h5 27. Ne5 Kg7 28. Nd3 b6 29. Qf4 Qd7 30. Ne5 Qd5+ 31. Qf3 Bxe5 32. Qxd5 Rxd5 33. Rxe5 Rxe5 34. dxe5 f6 35. f4,fxe5 fxe5 Kf7 Kf3 Ke6 Kf4,8/p5k1/1pp2pp1/4Pp1p/5P1P/2P3P1/PP4K1/8 b - - 0 35,f6e5 f4e5 g7f7 g2f3 f7e6 f3f4
01398,2425,1. d4 d5 2. e3 c6 3. f4 Nf6 4. Bd3 Bg4 5. Nf3 Ne4 6. O-O Nd7 7. Nbd2 e6 8. Nxe4 dxe4 9. Bxe4 Nf6 10. Bd3 Qd5 11. Bd2 Ne4 12. Be1 Be7 13. c4 Qh5 14. Bxe4 f5 15. Bd3 O-O-O 16. Qa4 Kb8 17. Ba5 Rc8 18. c5 h6 19. Rac1 g5 20. Rc3 gxf4 21. exf4 Rhg8 22. Ne5 Bh3 23. Rf2 Qh4 24. Rcc2 h5 25. Qb3 Rg3 26. Ba6 Rxb3 27. axb3,bxa6 g3 Rg8 Kh1 Qg4 Nxg4,1kr5/pp2b3/B1p1p3/B1P1Np1p/3P1P1q/1P5b/1PR2RPP/6K1 b - - 0 27,b7a6 g2g3 c8g8 g1h1 h4g4 e5g4
01E12,2166,1. d4 g6 2. Bf4 Bg7 3. e3 d5 4. Nf3 Nh6 5. Bd3 Bf5 6. Bxh6 Bxh6 7. Bxf5 gxf5 8. Nbd2 e6 9. Ne5 Nd7 10. Ndf3 f6 11. Nxd7 Qxd7 12. Nd2 O-O-O 13. Qe2 f4 14. O-O-O fxe3 15. fxe3 f5 16. Nf3 Qa4 17. Kb1 Rd6 18. Ne5 Rf8 19. Rde1 Ra6 20. a3 Rb6 21. Ka1 Bg7 22. Nd3 a6 23. Rhf1 Re8 24. Qh5 Re7 25. Qxh7,Bxd4 Qxe7 Bxb2+ Nxb2,2k5/1pp1r1bQ/pr2p3/3p1p2/q2P4/P2NP3/1PP3PP/K3RR2 b - - 0 25,g7d4 h7e7 d4b2 d3b2
01F7L,827,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 4. Nxc6 dxc6 5. e5 Ne4 6. d4 c5 7. Bd3 Bf5 8. f3 Qh4+,Ke2 Qf2#,r3kb1r/ppp2ppp/8/2p1Pb2/3Pn2q/3B1P2/PPP3PP/RNBQK2R w KQkq - 1 9,e1e2 h4f2
01TCa,2468,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Qe2+ Be7 7. Be3 O-O 8. O-O-O Re8 9. Qh5 Bf8 10. Bd3 g6 11. Qf3 Bg7 12. Nh3 Bxh3 13. Qxh3 Nd7 14. Bh6 Nb6 15. Bxg7 Kxg7 16. c3 Qd7 17. Qxd7 Nxd7 18. Rhe1 Nb6 19. Re2 Rxe2 20. Bxe2 Re8 21. Re1 Nd5 22. Kd2 Nf4 23. Bf3 Rxe1 24. Kxe1 Kf8 25. g3 Ne6 26. d5 cxd5 27. Bxd5 b6 28. b4 Ke7 29. Kd2 Kd6 30. Bb3 Nc7 31. Bxf7 g5 32. Bg8 h6 33. a4 Ke5 34. Kd3 Ne8 35. f3 Nd6 36. Bc4 f5 37. Bb3 f4 38. g4 Nb7 39. c4 Nd6 40. c5 bxc5 41. bxc5 Nb7 42. c6 Nd6 43. c7 Nc8 44. Bc4 Kd6 45. Ke4 Kxc7,Kf5 Nd6+ Kg6 Nxc4 Kxh6 Kd6 Kxg5 Ke5,2n5/p1k5/7p/6p1/P1B1KpP1/5P2/7P/8 w - - 0 46,e4f5 c8d6 f5g6 d6c4 g6h6 c7d6 h6g5 d6e5
