FEN,Moves
3R1R2/8/2N5/8/RN2N3/4k3/R7/4K3,b4c2 b4d5 
7N/6N1/6N1/3N3R/k5N1/7R/2NN2N1/KRN2N2,d5c3 d5b6 
3RKRN1/8/N2N3N/7N/7N/2N5/R7/4k3,h4g2 h4f3 
N1NR2NN/1N4N1/R7/4k3/R3N3/8/2N3N1/1N2KR2,h8g6 h8f7 
1N2R1N1/R7/3kNN2/R7/6N1/1N3N1N/2N3NN/N1RKNN1N,f6e4 f6e8 
8/R6N/N2kN3/R7/1N6/N7/N7/2RKR3,a3c4 a3b5 
7R/3k4/7R/5N2/6N1/8/8/1NRKRN2,g4e5 g4f6 
N1NRKR2/4N3/7N/8/3N4/8/7R/4k3,d4c2 d4f3 
RKRN4/3N4/5N1R/1k1NN3/7R/8/8/8,d5c3 d5c7 
3KR3/3N4/3N3R/3k4/7R/8/8/N1R5,d7b6 d7f6 
R7/N3kN1N/R7/2N5/2N3N1/1N6/NN1N4/N1NRKRNN,a7c6 a7c8 
3N2NK/N5N1/N2N4/8/R7/1NN2N1k/RNN4N/N4NR1,f3g1 f3g5 
N2R4/8/1N6/7R/1N2kNN1/R7/8/N3KR2,g4f2 g4f6 
1RKR1N2/NNN5/6NN/8/N1N2N2/R7/2k5/R1N4N,c4a3 c4e3 
2RKR2N/8/6N1/1NN5/N7/7R/2Nk4/7R,c5b3 c5e4 
k7/3N3R/2N5/8/8/8/5N2/KR6,d7b6 
3KR2N/N7/R7/2Nk4/7R/5N2/6N1/2R5,g2e3 g2f4 
1R6/N3N3/5N2/R2N4/2k5/R6N/8/2KR4,d5e3 d5b6 
N1N1R1R1/N2NN3/N1N5/N4N1R/N3Nk2/5N1R/N1N5/5K2,e7d5 e7g6 
3NRN1N/8/R7/N1NkN1N1/3N3R/NN6/2NN3N/2RKN1N1,c2e3 c2b4 
1RK4N/R1N3NN/2kN3N/R5N1/7N/5N2/7N/N2R1N2,f3d4 f3e5 
1RNR1N2/3N4/N5N1/4NN2/R5N1/2k5/5NNR/N1K5,f2d1 f2e4 
RN1N4/3N4/5NNR/1kN3N1/7R/3N1N1N/3N1N1N/1KR5,f3d4 
1NN1NRN1/N6R/4k3/7R/2N3NN/4N3/N6N/N2RK1N1,e8c7 e8g7 
3R4/R7/N3k2N/N6R/8/4N1N1/8/NN2KR2,a6c5 a6c7 
4k3/7R/8/3N4/8/8/2N3N1/3RKR2,d5f6 d5c7 
R7/5NNk/R7/5N2/8/8/8/2N3RK,f7g5 
4RKN1/8/N5N1/3N4/R7/5k2/R7/6R1,g6h4 g6e5 
1N2RK2/8/R7/N1N2k2/R1N2N2/7N/N7/6R1,c4e3 c4d6 
4R3/NN6/N7/7R/N2N1k2/7R/8/5KR1,d4e2 d4e6 
1RK2N2/2N4N/N4N2/7R/2kN4/R1N5/N4N2/NNNR4,b1d2 b1a3 
1RN2N2/2N3N1/7R/kN1N1N1N/N2N3R/5N2/2N4N/K2N3N,d4b3 d4c6 
N2N1N2/8/5NN1/8/1N5R/k7/7R/KR6,b4c2 
3NN3/4NNNR/Nk6/6NR/3N4/8/8/RKR1NN1N,e7d5 e7c8 
N4K2/R5N1/5k2/R7/8/8/1N6/4R1R1,g7h5 g7e8 
N1N1Nk2/R7/7N/1N2N2N/N1N5/8/NN1N1N1N/2N1RKR1,e5g6 e5d7 
2RKR3/1N3N2/R2N4/3kN1N1/3N3R/NN6/NN3N2/6N1,a2c3 a2b4 
2RKRN2/N7/8/N6N/8/3N4/R7/3k4,d3b2 d3f2 
7R/4N3/1N6/8/R7/6kN/R7/5RK1,e7f5 
2NRKRN1/2N5/2N5/8/2N3N1/N6R/4k3/R3N3,c6d4 
NRKR1N2/1N1N4/7N/N3N3/2NN3R/1NkN4/R6N/4N3,d4e2 d4b5 
1NN5/N4N1R/2N2k2/7R/2N5/8/1N6/NNNNRKR1,b8d7 
5R2/N1N1N1N1/NNN3N1/4N2R/3NkN2/R3N3/7N/N2RK1N1,a6c5 
N7/R7/3k4/R3N2N/6N1/1N6/8/2RKRN2,e5c4 e5f7 
2NR4/7N/R7/4k2N/7R/1N6/8/2N1KR2,c1d3 
1N1RK3/1N5N/N2N2N1/6N1/R7/4k3/R3N3/2N2RN1,d6c4 d6f5 
1R1RN2N/N6N/2NN3R/1NkN4/2N3NR/4NN2/8/1NK3N1,d6e4 d6b7 
5kN1/R4N2/5N2/N7/8/1N1N4/8/1N2RKR1,f6d7 f6h7 
N2RKN2/1N6/6N1/6N1/7R/4kN2/3N3R/5R2,d2f1 d2c4 
N1N1N3/7N/2N4N/N6R/N4k2/2N2N1R/N1NN4/3NRKR1,c3e2 c3d5 
4RKN1/N7/N7/2N5/N6R/N4kN1/RNN5/N5RN,c2e1 c2d4 
N1R3N1/R7/NNNk4/7R/N5N1/1N1N1N2/N5N1/N2KR2N,b6c4 b6c8 
3N2N1/NN1N2NN/4N2N/4N2N/2N4R/2kN4/R7/1RKR3N,a7b5 
1RK5/R5NN/1Nk5/R6N/2N1N3/6N1/6N1/1NNR4,c4a5 c4e5 
