2B1k3/1P1R3P/8/8/6B1/8/6P1/7K b - - 0 62,e8f8
2r5/8/8/K7/4k3/3n4/5r2/2b3bq b - - 1 56,h1h8
3B1B2/8/8/k7/2K3P1/8/8/1R6 b - - 13 76,a5a6
7N/1P1Bk3/4B3/2P1QP2/5N2/8/5PK1/8 b - - 0 60,e7f8
8/8/4pk2/6b1/4p3/8/3b2K1/n7 b - - 5 61,e4e3
3R3B/2Q5/5K2/8/5B2/4R3/4k3/8 b - - 4 75,e2f2
r4rk1/p4pp1/Ppqb3p/4nP1P/4PK1P/8/8/2b5 w - - 0 30,f4g3
k1K3b1/4Q1p1/6b1/2p5/3P2pP/p1R2PB1/P1N5/8 b - - 1 57,g8h7
8/6b1/2p2pk1/P6p/5K2/3qb3/5P2/8 w - - 0 45,f2e3
1R5B/2Q5/5B2/8/2k5/8/P4K2/8 b - - 4 56,c4d5
8/2N5/8/p5B1/P2K4/5R2/1B4k1/2Q5 b - - 10 48,g2h2
7B/p4pk1/2p1b3/4P3/3r2nB/2N5/PPP3PP/2K4R b - - 0 22,g7h8
2B1N3/8/1k6/pB5P/P7/8/3K4/8 b - - 0 54,b6c5
7B/8/5BQ1/8/1kp3P1/8/2K2P2/8 w - - 1 47,g6h7
B2b4/3R3B/2P5/p4n2/k3pP1p/2R4P/8/K7 w - - 8 78,h7f5
8/1k3B2/7p/1p1KP3/6P1/b7/7r/b7 b - - 0 42,h2e2
rn3b1r/2qk2pp/8/2p2N2/1p5P/6P1/P1PPPK2/R1bQ1B1R w - - 0 19,a1c1
RB6/R7/8/3k4/6P1/4Q1Np/3P1K1P/2B5 w - - 1 42,g4g5
6k1/2B1B3/4KR2/5N2/8/8/8/8 w - - 39 85,f6g6
7K/8/4k3/6q1/8/8/8/2b1b3 w - - 66 98,h8h7
5r2/7p/2Kpk3/8/8/8/8/2bnb2n w - - 0 60,c6b5
8/6p1/4bp2/3b1r1k/3K4/8/8/8 w - - 24 74,d4c5
K7/P7/4kb2/8/8/8/1q6/4b3 b - - 0 59,e1b4
8/8/4b3/3brp1k/2nK4/8/8/8 w - - 0 84,d4c5
6RB/1P1k4/3P1K2/8/5B2/1Q6/8/8 b - - 0 68,d7c6
